127.0.0.1 - - [11/Apr/2023:00:12:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2023:00:12:54 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:00:12:54 +0530] "GET /SocialNetworkingProject/css/style.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Apr/2023:00:12:54 +0530] "GET /SocialNetworkingProject/images/social_network.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Apr/2023:00:13:09 +0530] "GET /SocialNetworkingProject/index.html HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [11/Apr/2023:00:15:08 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:00:15:08 +0530] "GET /SocialNetworkingProject/css/style.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Apr/2023:00:15:08 +0530] "GET /SocialNetworkingProject/images/social_network.png HTTP/1.1" 200 149381
0:0:0:0:0:0:0:1 - - [11/Apr/2023:00:15:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:18:17 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:18:17 +0530] "GET /SocialNetworkingProject/css/style.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:19:02 +0530] "POST /SocialNetworkingProject/Login HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:39:56 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:39:56 +0530] "GET /SocialNetworkingProject/css/style.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:54:01 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:55:09 +0530] "GET /SocialNetworkingProject/index.html HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:55:16 +0530] "POST /SocialNetworkingProject/Login HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:56:42 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:57:24 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:57:34 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:58:02 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:58:04 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:58:04 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:58:04 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:58:04 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:58:04 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:58:05 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:22:58:10 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:23:00:30 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [11/Apr/2023:23:00:31 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
