0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:25:06 +0530] "POST /enter?pid=1&pname=Key&noOfUnits=200&price=300000 HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:14 +0530] "GET /SocialNetworkingProject/profile.jsp HTTP/1.1" 200 9253
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:14 +0530] "GET /SocialNetworkingProject/images/male.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:14 +0530] "GET /SocialNetworkingProject/images/virat-kohli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:14 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:14 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:15 +0530] "GET /SocialNetworkingProject/profile.jsp HTTP/1.1" 200 9253
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:15 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:15 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:27 +0530] "POST /SocialNetworkingProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:27 +0530] "GET /SocialNetworkingProject/home.jsp HTTP/1.1" 200 6953
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:27 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:27 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:34 +0530] "GET /SocialNetworkingProject/profile.jsp HTTP/1.1" 200 9291
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:34 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:37 +0530] "GET /SocialNetworkingProject/editProfile.jsp HTTP/1.1" 200 10087
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:37 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:40 +0530] "GET /SocialNetworkingProject/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:27:40 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:36:58 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:36:59 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [20/Apr/2023:19:37:01 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5015
